coc_number,coc_name,coc_category,total_homeless,es_beds,rrh_beds,psh_beds,population,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
CA-612,Glendale CoC,Other Largely Urban CoC,195,61,30,156,197895,9.853710300917152,7.882968240733722,1.5159554309103311,3.082442709517674
CA-613,Imperial County CoC,Largely Suburban CoC,1303,131,156,24,178807,72.87186743248307,1.3422293310664573,8.724490651931971,7.326335098737745
CA-614,San Luis Obispo County CoC,Largely Suburban CoC,1532,282,283,363,278680,54.97344624659107,13.025692550595664,10.155016506387254,10.119133055834649
CO-500,Colorado Balance of State CoC,Largely Rural CoC,2201,842,406,1103,1683718,13.072260319127073,6.550978251702482,2.411330163364649,5.0008374323966365
CO-503,Metropolitan Denver CoC,Major City CoC,10054,4107,1873,4573,2997276,33.54379109564818,15.257186859001306,6.249007432081663,13.702441817169989
CO-504,Colorado Springs/El Paso County CoC,Major City CoC,1302,698,120,489,665171,19.573914076230025,7.351493074713119,1.804047380297698,10.493542262064942
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Other Largely Urban CoC,597,434,325,1997,857728,6.960248470377556,23.28243918818087,3.7890799880614834,5.0598791225190265
CT-505,Connecticut Balance of State CoC,Largely Suburban CoC,2418,1540,1129,5395,2736355,8.836572740013631,19.71600907046052,4.125926643290071,5.62792473929735
DC-500,District of Columbia CoC,Major City CoC,4922,3720,9206,15349,659009,74.68790259313606,232.91032444169957,139.69460204640603,56.44839448323164
DE-500,Delaware Statewide CoC,Largely Suburban CoC,1245,943,226,739,934695,13.319853000176527,7.906322383237313,2.4179010265380687,10.08885251338672
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Largely Suburban CoC,1150,518,176,378,751422,15.304316349534616,5.03046224358616,2.3422258065374715,6.8935964078773315
FL-501,Tampa/Hillsborough County CoC,Major City CoC,2040,960,666,1425,1323059,15.418813522299459,10.770494739841535,5.0337891205154115,7.2559122457879806
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Other Largely Urban CoC,2144,1545,667,1641,939548,22.81948341117218,17.465845278793633,7.099158318680898,16.44407736486055
FL-503,"Lakeland, Winterhaven/Polk County CoC",Largely Suburban CoC,776,282,76,211,637691,12.168903120790477,3.3088125753695756,1.1917997901805106,4.422204484617158
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Largely Suburban CoC,1053,278,82,432,613723,17.157577604228617,7.039006196606612,1.3361076576892181,4.5297308394829585
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Largely Suburban CoC,395,139,36,149,257326,15.350178372958815,5.79032044954649,1.3990035985481453,5.401708338838672
FL-506,Tallahassee/Leon County CoC,Other Largely Urban CoC,801,551,117,497,437469,18.309868813561646,11.360804994182445,2.6744752199584427,12.595178172624802
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Largely Suburban CoC,2258,1436,776,1421,2010922,11.228680177550398,7.0664103331705554,3.8589264029136885,7.141002982711412
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Largely Rural CoC,1006,284,299,661,412544,24.385277691591686,16.022533354017995,7.247711759230531,6.884114179336022
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Largely Suburban CoC,925,177,93,310,592070,15.623152667758879,5.235867380546219,1.5707602141638657,2.9895113753441316
FL-510,"Jacksonville-Duval, Clay Counties CoC",Major City CoC,1247,554,388,812,1178423,10.581938743558128,6.890564763247153,3.292535872093467,4.70119812664892
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Largely Suburban CoC,1180,290,187,240,473477,24.922013107289267,5.068884021821546,3.949505467002621,6.124901526367701
FL-512,St. Johns County CoC,Largely Suburban CoC,435,128,62,0,218362,19.921048534085603,0,2.839321860030591,5.861825775547027
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Largely Suburban CoC,1052,83,125,460,560683,18.762830333717982,8.204279423488853,2.22942375638284,1.480337374238206
FL-514,Ocala/Marion County CoC,Largely Suburban CoC,454,194,53,188,340341,13.339562380083505,5.523871646378191,1.557261687542788,5.700165422326431
FL-515,"Panama City/Bay, Jackson Counties CoC",Largely Rural CoC,517,89,102,87,301679,17.137420901023937,2.8838599968841057,3.3810772377261924,2.9501556289963835
FL-517,"Hendry, Hardee, Highlands Counties CoC",Largely Rural CoC,1016,69,57,43,252514,40.23539288910713,1.7028758801492194,2.2573005853140815,2.7325217611696777
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Largely Rural CoC,494,82,71,101,134955,36.60479419065614,7.48397614019488,5.261012930236005,6.076099440554259
FL-519,Pasco County CoC,Largely Suburban CoC,680,119,178,414,488310,13.92558006184596,8.478220802359157,3.6452253691302654,2.4369765108230426
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Largely Suburban CoC,649,122,164,150,748425,8.671543574840499,2.004208838560978,2.191268330160003,1.6300898553629286
FL-600,Miami-Dade County CoC,Major City CoC,3657,2379,520,4897,2664418,13.725323879361271,18.379248301129927,1.9516457252578236,8.928779193054543
FL-601,Ft Lauderdale/Broward County CoC,Largely Suburban CoC,2487,873,639,1169,1863780,13.343849595982357,6.272199508525685,3.4285162411872645,4.684029230917812
FL-602,Punta Gorda/Charlotte County CoC,Largely Suburban CoC,427,176,111,39,169642,25.17065349382818,2.2989589842138147,6.543190955070089,10.374789262093113
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Largely Suburban CoC,862,366,360,310,680970,12.658413733350955,4.552329764894195,5.286576501167453,5.374686109520244
FL-604,Monroe County CoC,Largely Rural CoC,493,244,4,180,77146,63.90480387836051,23.33238275477666,0.5184973945505924,31.628341067586135
FL-605,West Palm Beach/Palm Beach County CoC,Largely Suburban CoC,1855,693,635,1315,1398757,13.261774561271185,9.401204069041299,4.539744930677737,4.954398798361688
FL-606,Naples/Collier County CoC,Largely Suburban CoC,703,270,144,94,348236,20.187459079474838,2.6993188527320555,4.135126753121447,7.753362662102712
GA-500,Atlanta CoC,Major City CoC,2679,1677,559,1827,453856,59.02753296199676,40.25505887329902,12.316681943171403,36.95004582951421
GA-501,Georgia Balance of State CoC,Largely Rural CoC,6388,2054,1194,2522,6847767,9.328588428899524,3.682952413538603,1.7436340926903617,2.9995179450469034
GA-502,Fulton County CoC,Largely Suburban CoC,337,130,112,548,577110,5.839441354334529,9.495590095475732,1.9407045450607336,2.2526034898026372
GA-503,Athens-Clarke County CoC,Other Largely Urban CoC,353,167,317,156,122037,28.925653695190803,12.783008431869023,25.975728672451794,13.684374411039276
GA-504,Augusta-Richmond County CoC,Other Largely Urban CoC,643,407,0,184,201418,31.923661241795667,9.135231210716023,0,20.20673425413816
GA-505,Columbus-Muscogee CoC,Other Largely Urban CoC,274,313,509,215,258939,10.58164278073214,8.303113860793468,19.657139326250583,12.087789015945841
GA-506,Marietta/Cobb County CoC,Largely Suburban CoC,437,269,40,365,728388,5.999549690549542,5.011065531008199,0.5491578664118574,3.693086651619741
GA-507,Savannah/Chatham County CoC,Other Largely Urban CoC,745,405,0,797,282613,26.361136961144744,28.201108936956192,0,14.330550965454526
GA-508,DeKalb County CoC,Largely Suburban CoC,438,138,127,1093,693150,6.3189785760657875,15.76859265671211,1.8322152492245545,1.990911058212508
HI-500,Hawaii Balance of State CoC,Largely Rural CoC,2195,611,290,550,426583,51.45540258285023,12.893153266773407,6.798208086116887,14.32312117454282
HI-501,Honolulu City and County CoC,Largely Suburban CoC,4028,1476,438,2092,986999,40.810578328853424,21.19556352134095,4.437694465749205,14.95442244622335
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Other Largely Urban CoC,276,284,30,71,123123,22.41660778246144,5.766591132444791,2.436587802441461,23.066364529779165
IA-501,Iowa Balance of State CoC,Largely Rural CoC,1733,1197,1383,577,2438112,7.107958945282251,2.366585292226116,5.6724219395991655,4.909536559436154
IA-502,Des Moines/Polk County CoC,Other Largely Urban CoC,644,407,317,502,472853,13.61945467195936,10.616407213235403,6.703986228278133,8.607326166905994
ID-500,Boise/Ada County CoC,Other Largely Urban CoC,687,665,84,299,425798,16.134411152706214,7.022109075195281,1.9727664291518514,15.61773423078549
ID-501,Idaho Balance of State CoC,Largely Rural CoC,1611,847,110,426,1209685,13.317516543562993,3.5215779314449627,0.9093276348801548,7.001822788577192
IL-500,McHenry County CoC,Largely Suburban CoC,125,37,17,115,300995,4.152892905197761,3.82066147278194,0.5647934351068954,1.229256299938537
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Largely Suburban CoC,445,338,219,451,342552,12.990728414955976,13.165884303696956,6.393189939045751,9.867115065741844
IL-502,"Waukegan, North Chicago/Lake County CoC",Largely Suburban CoC,467,303,251,354,728734,6.4083739745915524,4.857739586735352,3.4443294809903198,4.157895747968395
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Other Largely Urban CoC,215,152,16,111,206420,10.415657397538999,5.377385912217808,0.7751186900494138,7.3636275554694315
IL-504,Madison County CoC,Largely Suburban CoC,88,44,63,149,266759,3.2988577704969653,5.585565997773271,2.361682267514873,1.6494288852484826
IL-506,"Joliet, Bolingbrook/Will County CoC",Largely Suburban CoC,343,134,142,269,800973,4.282291662765162,3.358415327358101,1.7728437787540905,1.672965256007381
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",Largely Suburban CoC,420,433,61,356,397388,10.569015672340383,8.958498998459945,1.5350237047922937,10.896151871722347
IL-508,"East St. Louis, Belleville/St. Clair County CoC",Largely Suburban CoC,264,54,61,273,273315,9.6591844574941,9.988474836726855,2.231857014799773,1.9757422753965206
IL-510,Chicago CoC,Major City CoC,6139,5246,2099,8360,2716350,22.60018038912511,30.776593590663943,7.7272810941152645,19.312680619213282
IL-511,Cook County CoC,Largely Suburban CoC,1056,467,585,1537,2499324,4.225142478526194,6.149662868839734,2.3406329071380902,1.8685052438179284
IL-512,Bloomington/Central Illinois CoC,Largely Rural CoC,256,198,64,171,533328,4.800048000480005,3.206282062820628,1.2000120001200012,3.7125371253712536
IL-513,Springfield/Sangamon County CoC,Other Largely Urban CoC,306,120,52,146,198639,15.404829867246614,7.350016864764725,2.617814225806614,6.041109751861417
IL-514,DuPage County CoC,Largely Suburban CoC,525,388,130,442,917342,5.723056395542774,4.818268432056964,1.4171377741344013,4.229611202801136
IL-515,South Central Illinois CoC,Largely Rural CoC,170,72,60,42,403649,4.2115798627024965,1.0405079660794403,1.4864399515420577,1.783727941850469
IL-516,Decatur/Macon County CoC,Other Largely Urban CoC,110,102,62,83,108404,10.147227039592636,7.656544038965352,5.719346149588576,9.409246891258626
IL-517,"Aurora, Elgin/Kane County CoC",Largely Suburban CoC,461,407,62,194,588127,7.838443057366861,3.2986072735990697,1.0541940771295994,6.920274022447533
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",Largely Rural CoC,232,293,4,24,660512,3.512426723511458,0.36335448863911635,0.060559081439852724,4.435952715469211
IL-519,West Central Illinois CoC,Largely Rural CoC,95,58,14,88,225019,4.221865709117896,3.91078086739342,0.6221696834489532,2.577560117145663
IL-520,Southern Illinois CoC,Largely Rural CoC,230,251,40,108,579396,3.969651153960331,1.8640101070770252,0.6903741137322315,4.332097563669753
IN-502,Indiana Balance of State CoC,Largely Rural CoC,4398,3618,906,2960,5657436,7.773839598008709,5.232052116895357,1.6014321682118897,6.3951231617997975
IN-503,Indianapolis CoC,Major City CoC,1619,1302,776,1209,932142,17.368598346603843,12.970126869082177,8.32491186965076,13.967828935934653
KS-502,Wichita/Sedgwick County CoC,Major City CoC,702,320,203,562,508221,13.812888487488712,11.058181381721731,3.9943253033621198,6.2964733846102385
